,name,address,postal_code,stars,crunchy,morning,fishy,nightlife,hearty,meaty,homey,fresh,flavorful,categories,top_10_words
0,St Honore Pastries,935 Race St,19107.0,4.0,0.2167907784538755,0.5662255025646098,0.2462207054831459,0.4082383995108579,0.2453141887687456,0.2919365174366393,0.3170873849200163,0.490765119997112,0.3056158506499736,Restaurants|Food|Bubble Tea|Coffee & Tea|Bakeries,tarts; buns; egg; pastries; chinatown; cake; bakery; tea; bakeries; bun
1,Tuna Bar,205 Race St,19106.0,4.0,0.1067286873281086,0.1454212442895661,0.8679807565599938,0.2214227894049595,0.3505057752277301,0.591871248616091,0.4631846575089622,0.5278853718086743,0.5596713458627918,Sushi Bars|Restaurants|Japanese,sushi; tuna; roll; rolls; bar; fish; sashimi; rice; shrimp; avocado
2,BAP,1224 South St,19147.0,4.5,0.1640970349177474,0.3789574669441351,0.1180823004059635,0.4634134359522333,0.2725474741078893,0.4244172110224452,0.3778271675909305,0.6910762205666386,0.6561331769181428,Korean|Restaurants,bibimbap; korean; beef; rice; stone; bowl; pancake; kimchi; cinnamon; tofu
3,Bar One,767 S 9th St,19147.0,4.0,0.0893760315749311,0.5608420782492419,0.4409947105634879,0.6882028744961431,0.2054967765676723,0.426751620660569,0.3803413225504874,0.6375217364704301,0.572749213624783,Cocktail Bars|Bars|Italian|Nightlife|Restaurants,bar; brunch; beer; ralph; drink; italian; drinks; bartender; mussels; music
4,DeSandro on Main,4105 Main St,19127.0,3.0,0.7312856296825662,0.3916648694203193,0.2523922963646464,0.4312843774525397,0.2529519780695089,0.490446157700618,0.5370778310555905,0.4246308052699807,0.4197910398593949,Pizza|Restaurants|Salad|Soup,pizza; manayunk; drunk; delivery; main; pasta; wings; 30; italian; counter
5,Craft Hall,901 N Delaware Ave,19123.0,3.5,0.1786309698294114,0.5561204106423622,0.4103007557766363,0.6597183354482029,0.2233046662107111,0.4330563294733469,0.4094645767722889,0.5451311060862586,0.5458477954962088,Eatertainment|Arts & Entertainment|Brewpubs|American (Traditional)|Bakeries|Breweries|Food|Restaurants,kids; playground; beer; hall; craft; table; games; play; bar; space
6,Wawa,3604 Chestnut St,19104.0,3.0,0.2663156680784225,0.6961977604767666,0.3244637234173075,0.4726924956082003,0.254309571027269,0.480299043159084,0.3420395254511049,0.4403799556624775,0.3414118347124114,Restaurants|Automotive|Delis|Gas Stations|Food|Coffee & Tea|Sandwiches|Convenience Stores,wawa; coffee; gas; store; location; sandwich; hoagie; sandwiches; hoagies; employees
7,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,19130.0,3.0,0.2134029703745217,0.1779635399075534,0.0757043209143676,0.6586297382457847,0.0089122008592759,0.2834788425789301,0.8911213349851788,0.566617926795305,0.210050388697522,Restaurants|Chinese,chinese; rice; delivery; mein; tso; soup; golden; wonton; dumplings; lo
8,J Sushi,243 S 10th St,19107.0,4.5,0.188530091735735,0.1474648083728982,0.9290681085407771,0.1430375687796549,0.3722518259314772,0.6834694188012421,0.4923055923140115,0.4794112730572382,0.583302364925723,Seafood|Restaurants|Sushi Bars|Japanese,sushi; roll; rolls; sashimi; tuna; eel; fish; salmon; yellowtail; delivery
9,Wendy's,700 E. Hunting Park,19124.0,1.5,0.231589276202361,0.571229996589063,0.2467685823094337,0.5406922661055766,0.1405980471246636,0.6712964785215506,0.7091158790482154,0.2965633084893332,0.4519829633120162,Burgers|Restaurants|Fast Food,wendy; drive; fries; nuggets; fast; location; burger; line; sandwich; employees
10,Red Hook Coffee & Tea,765 S 4th St,19147.0,4.5,0.1779653249002579,0.9055524381972184,0.2727718729837765,0.1131549285897915,0.2738917668725062,0.2865375232726264,0.5786999990517736,0.6077648608498846,0.6729529839324836,Restaurants|Breakfast & Brunch|Vegan|Bagels|Food|Coffee & Tea,coffee; hook; vegan; red; sandwiches; bagel; sandwich; breakfast; salad; shop
11,Shanghai Station,4002 Spruce St,19104.0,4.0,0.1426039178176265,0.2528013337055682,0.1735903979918955,0.5641463075941198,0.1516890047473248,0.2127729451762701,0.5031068467067209,0.731480220503766,0.2949697500593656,Shanghainese|Restaurants|Sushi Bars|Szechuan|Sports Bars|Lounges|Asian Fusion|Thai|Karaoke|Chinese|Nightlife|Bars,dumplings; dan; soup; shanghai; noodles; karaoke; chinese; sum; dim; pao
12,Baltic Bakery,2609 Edgemont St,19125.0,4.5,0.2706310307605999,0.6219106433416117,0.3313456808827525,0.4612774250114533,0.3349208605024754,0.402617108360581,0.1393289090345253,0.316002059776277,0.3526765527366028,Food|Bakeries|Restaurants,polish; bakery; pastries; poppy; seed; almond; suspicious; moved; roll; ave
13,Brown Sugar Bakery & Cafe,219 S 52nd St,19139.0,4.5,0.1810307600112178,0.4867309656658549,0.1469693739720818,0.4619261041281424,0.2731271707146151,0.5110582215599757,0.2749281187239067,0.4426030795744972,0.741834779652714,Cupcakes|Caribbean|Restaurants|Trinidadian|Food|Bakeries|Cafes,roti; goat; doubles; curry; oxtail; caribbean; oxtails; bakery; sugar; brown
